City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
253,Matara,LK,5.9485,80.5353,79.27,84,64,14.43,broken clouds
254,Kutum,SD,14.2,24.6667,83.41,36,54,3.09,broken clouds
255,Narsaq,GL,60.9167,-46.05,61.02,70,100,5.01,overcast clouds
256,Okhotsk,RU,59.3833,143.3,57.99,88,100,0.85,overcast clouds
257,Mosquera,CO,4.7059,-74.2302,62.69,55,75,13.8,broken clouds
258,Tocopilla,CL,-22.092,-70.1979,65.59,65,33,8.25,scattered clouds
259,Ankazoabo,MG,-22.2833,44.5167,61.07,77,0,7.07,clear sky
260,Airai,TL,-8.9266,125.4092,50.47,54,95,2.51,overcast clouds
261,Yumen,CN,40.2833,97.2,68.27,36,18,4.34,few clouds
262,Ler,SS,8.3018,30.1418,70.83,94,100,1.79,overcast clouds
263,Darnah,LY,32.767,22.6367,78.08,77,0,5.41,clear sky
264,Tanabe,JP,33.7333,135.3667,79.2,94,100,9.53,heavy intensity rain
265,Kholodnyy,RU,62.7167,147.95,67.89,79,86,7.54,overcast clouds
266,Ayan,RU,56.45,138.1667,56.5,97,100,10.4,overcast clouds
267,Hokitika,NZ,-42.7167,170.9667,54.72,94,100,22.06,moderate rain
268,Sikasso,ML,10.9167,-7.0,74.44,92,48,4.63,light rain
269,Chapada Dos Guimaraes,BR,-15.4606,-55.7497,78.46,24,54,5.28,broken clouds
270,Kenai,US,60.5544,-151.2583,64.49,73,0,18.41,clear sky
271,Thompson,CA,55.7435,-97.8558,73.56,56,40,4.61,scattered clouds
272,Aleksandrovsk-Sakhalinskiy,RU,50.8975,142.1561,57.61,95,81,3.29,broken clouds
273,Iqaluit,CA,63.7506,-68.5145,42.53,86,75,8.05,broken clouds
274,Pimentel,PE,-6.8367,-79.9342,66.49,68,0,20.71,clear sky
275,Mahibadhoo,MV,3.7833,72.9667,81.97,77,100,14.85,overcast clouds
276,Dingle,PH,10.9995,122.6711,75.42,95,100,3.65,overcast clouds
